endpoint,group,signature,n,events,HR_per_SD,CI_low,CI_high,cox_p,logrank_p
PFI,ALL,TLS,1201,171,0.822,0.707,0.956,0.0108,0.265
PFI,ALL,JAK_STAT,1201,171,0.866,0.742,1.011,0.0682,0.9928
PFI,ALL,TGFb,1201,171,1.15,0.983,1.345,0.0801,0.3197
PFI,TNBC,TLS,123,23,0.962,0.637,1.451,0.8519,0.7382
PFI,TNBC,JAK_STAT,123,23,0.722,0.48,1.088,0.1193,0.1122
PFI,TNBC,TGFb,123,23,1.108,0.725,1.694,0.6357,0.5605
DFI,ALL,TLS,1026,91,0.775,0.629,0.953,0.0159,0.6034
DFI,ALL,JAK_STAT,1026,91,0.922,0.749,1.133,0.4387,0.3667
DFI,ALL,TGFb,1026,91,1.261,1.018,1.562,0.034,0.3838
DFI,TNBC,TLS,112,16,1.064,0.661,1.713,0.7974,0.2806
DFI,TNBC,JAK_STAT,112,16,0.78,0.475,1.282,0.3274,0.2242
DFI,TNBC,TGFb,112,16,1.186,0.712,1.973,0.5124,0.9181
